,DS,N_Fix
BCW-201926,1,1
BCW-201900,1,1
BCW-200600,1,1
BCW-200648,1,0
BCW-201649,1,0
BCW-201890,1,0
BCW-200438,1,0
BCW-201071,1,0
BCW-200521,1,0
BCW-200577,1,0
BCW-200030,1,0
BCW-200203,1,0
BCW-200661,1,1
BCW-200665,1,1
BCW-201098,1,1
BCW-200662,1,1
BCW-201019,1,0
BCW-201703,1,0
BCW-201263,1,0
BCW-200553,1,0
BCW-201614,1,0
BCW-201615,1,0
BCW-201075,1,0
BCW-201021,1,0
BCW-200651,1,0
BCW-200276,1,0
BCW-201441,1,0
BCW-200660,1,0
BCW-200704,1,0
BCW-201078,1,0
BCW-201020,1,0
BCW-201620,1,0
BCW-201107,1,0
BCW-200049,1,0
BCW-200053,1,0
BCW-200069,1,0
BCW-200083,1,0
BCW-200084,1,0
BCW-200086,1,0
BCW-200093,1,0
BCW-200096,1,0
BCW-200099,1,0
BCW-200123,1,0
BCW-200124,1,0
BCW-200129,1,0
BCW-200132,1,0
BCW-200136,1,0
BCW-200137,1,0
BCW-200167,1,1
BCW-200172,1,0
BCW-200177,1,0
BCW-200726,0,1
BCW-201187,0,1
BCW-201025,0,1
BCW-201162,1,1
BCW-201176,0,1
BCW-200725,0,1
BCW-200723,0,1
BCW-200715,0,1
BCW-201014,0,1
BCW-200724,0,0
BCW-200552,1,0
BCW-200565,0,0
BCW-200821,1,0
BCW-201315,1,0
BCW-200736,0,0
BCW-200718,0,0
BCW-201175,0,0
BCW-200815,0,0
BCW-200642,0,0
BCW-201184,1,0
BCW-200801,1,0
BCW-201302,1,0
BCW-201008,0,0
BCW-200578,1,0
BCW-200800,1,0
BCW-200797,1,0
BCW-201304,1,0
BCW-200650,1,0
BCW-201010,0,0
BCW-200545,0,0
BCW-200647,1,0
BCW-200798,1,0
BCW-200716,0,0
BCW-201013,0,0
BCW-201982,0,0
BCW-200649,0,0
BCW-201648,0,0
BCW-200559,1,0
BCW-200814,0,0
BCW-201186,0,0
BCW-200818,1,0
BCW-201059,1,0
BCW-201024,0,0
BCW-201036,0,0
BCW-201070,1,0
BCW-201088,1,0
BCW-201091,1,0
BCW-201654,0,0
BCW-201297,1,0
BCW-201028,0,0
GCF_000247895.1,0,0
GCF_000367425.1,0,0
GCF_000648315.1,0,0
GCF_000703465.1,0,0
GCF_000703485.1,0,0
GCF_000735435.1,0,0
GCF_000737915.1,0,0
GCF_000783935.1,0,0
GCF_000829965.1,0,0
GCF_000935285.1,0,0
GCF_000964285.1,0,0
GCF_001039315.1,0,0
GCF_001049875.1,0,0
GCF_001065685.1,0,0
GCF_001066395.1,0,0
GCF_001455225.1,0,0
GCF_001598295.1,0,0
GCF_001663315.1,0,0
GCF_001663325.1,0,0
GCF_001700855.1,0,0
GCF_001723565.1,0,0
GCF_001866535.1,0,0
GCF_001903595.1,0,0
GCF_001975865.1,0,0
GCF_002108615.1,0,0
GCF_002204595.1,0,0
GCF_002214825.1,0,0
GCF_002215315.1,0,0
GCF_002264145.1,0,0
GCF_002266585.1,0,0
GCF_002266645.1,0,0
GCF_002266665.1,0,0
GCF_002266675.1,0,0
GCF_002266685.1,0,0
GCF_002266695.1,0,0
GCF_002494395.1,0,0
GCF_002554635.1,0,0
GCF_002588355.1,0,0
GCF_002635135.1,0,0
GCF_002635365.1,0,0
GCF_002759495.1,0,0
GCF_002761975.1,0,0
GCF_002794395.1,0,0
GCF_002806725.1,0,0
GCF_002806925.1,0,0
GCF_002895535.1,0,0
GCF_002949305.1,0,0
GCF_002949335.1,0,0
GCF_002949375.1,0,0
GCF_002949385.1,0,0
GCF_002949435.1,0,0
GCF_003323835.1,0,0
GCF_900155375.1,0,0
GCF_900184005.1,0,0
GCF_900455785.1,0,0
